Scientific_Name,Common_Name,name,label,Indicator_Status
Asclepias rubra,Red Milkweed,Asclepias rubra,Asclepias rubra - Red Milkweed,OBL
Asclepias speciosa,Showy Milkweed,Asclepias speciosa,Asclepias speciosa - Showy Milkweed,FAC
Asclepias subverticillata,Horsetail Milkweed,Asclepias subverticillata,Asclepias subverticillata - Horsetail Milkweed,FACU
Asclepias sullivantii,Prairie Milkweed,Asclepias sullivantii,Asclepias sullivantii - Prairie Milkweed,FAC
Asclepias syriaca,Common Milkweed,Asclepias syriaca,Asclepias syriaca - Common Milkweed,UPL
Asclepias texana,Texas Milkweed,Asclepias texana,Asclepias texana - Texas Milkweed,FACU
Asclepias variegata,Red-Ring Milkweed,Asclepias variegata,Asclepias variegata - Red Ring Milkweed,FACU
Asclepias verticillata,Whorled Milkweed,Asclepias verticillata,Asclepias verticillata - Whorled Milkweed,FACU
Asimina parviflora,Small-Flower Pawpaw,Asimina parviflora,Asimina parviflora - Small Flower Pawpaw,FAC
Asimina triloba,Common Pawpaw,Asimina triloba,Asimina triloba - Common Pawpaw,FACU
Asparagus officinalis,Asparagus,Asparagus officinalis,Asparagus officinalis - Asparagus,FACU
Asperugo procumbens,German-Madwort,Asperugo procumbens,Asperugo procumbens - German Madwort,UPL
Asplenium adiantum-nigrum,Black Spleenwort,Asplenium adiantum-nigrum,Asplenium adiantum nigrum - Black Spleenwort,FACU
Asplenium platyneuron,Ebony Spleenwort,Asplenium platyneuron,Asplenium platyneuron - Ebony Spleenwort,FACU
Asplenium trichomanes,Maidenhair Spleenwort,Asplenium trichomanes,Asplenium trichomanes - Maidenhair Spleenwort,FAC
Astragalus agrestis,Cock's-Head,Astragalus agrestis,Astragalus agrestis - Cock's Head,FACU
Astragalus alpinus,Alpine Milk-Vetch,Astragalus alpinus,Astragalus alpinus - Alpine Milk Vetch,FAC
Astragalus americanus,American Milk-Vetch,Astragalus americanus,Astragalus americanus - American Milk Vetch,FAC
Astragalus argophyllus,Silver-Leaf Milk-Vetch,Astragalus argophyllus,Astragalus argophyllus - Silver Leaf Milk Vetch,FACW
Astragalus bodinii,Bodin's Milk-Vetch,Astragalus bodinii,Astragalus bodinii - Bodin's Milk Vetch,FAC
Astragalus canadensis,Canadian Milk-Vetch,Astragalus canadensis,Astragalus canadensis - Canadian Milk Vetch,FAC
